Transaction ID,Transaction
T1,Multigrain Bread,Almond Butter,Organic Honey
T2,Multigrain Bread,Almond Butter,Organic Honey
T3,Multigrain Bread,Almond Butter,Organic Honey
T4,Organic Pasta,Marinara Sauce,Olive Oil
T5,Organic Pasta,Marinara Sauce,Olive Oil
T6,Organic Pasta,Marinara Sauce,Olive Oil
T7,Avocados,Baby Spinach,Olive Oil
T8,Avocados,Baby Spinach,Olive Oil
T9,Avocados,Baby Spinach,Olive Oil
T10,Greek Yogurt,Blueberries (Pack),Organic Honey
T11,Greek Yogurt,Blueberries (Pack),Organic Honey
T12,Greek Yogurt,Blueberries (Pack),Organic Honey
T13,Quinoa (1 lb),Tofu Block,Kale Greens
T14,Quinoa (1 lb),Tofu Block,Kale Greens
T15,Quinoa (1 lb),Tofu Block,Kale Greens
T16,Organic Eggs (Dozen),Sourdough Bread,Avocados
T17,Organic Eggs (Dozen),Multigrain Bread,Kale Greens
T18,Almond Milk,Organic Granola,Fresh Strawberries
T19,Oat Milk,Organic Granola,Fresh Strawberries
T20,Soy Milk,Organic Granola,Blueberries (Pack)
T21,Almonds (Pack),Dark Chocolate Bar,Herbal Green Tea
T22,Cashews (Pack),Dark Chocolate Bar,Coconut Water
T23,Pistachios (Pack),Fresh Orange Juice,Dark Chocolate Bar
T24,Kombucha Drink,Organic Bananas,Almonds (Pack)
T25,Fresh Salmon Fillet,Basmati Rice,Olive Oil
T26,Shrimp (Frozen),Quinoa (1 lb),Olive Oil
T27,Organic Chicken Breast,Brown Rice,Coconut Oil
T28,Spinach Pizza,Greek Yogurt,Fresh Orange Juice
T29,Cheese Pizza,Coconut Water,Dark Chocolate Bar
T30,Maple Syrup,Multigrain Bread,Almond Butter
T31,Organic Honey,Multigrain Bread,Almond Butter
T32,Organic Pasta,Marinara Sauce,Olive Oil
T33,Avocados,Baby Spinach,Olive Oil
T34,Greek Yogurt,Blueberries (Pack),Organic Honey
T35,Quinoa (1 lb),Tofu Block,Kale Greens
T36,Organic Eggs (Dozen),Sourdough Bread,Avocados
T37,Almond Milk,Organic Granola,Dark Chocolate Bar
T38,Oat Milk,Organic Granola,Fresh Strawberries
T39,Almonds (Pack),Cashews (Pack),Pistachios (Pack)
T40,Kombucha Drink,Herbal Green Tea,Dark Chocolate Bar
T41,Fresh Salmon Fillet,Basmati Rice,Coconut Oil
T42,Organic Chicken Breast,Brown Rice,Olive Oil
T43,Shrimp (Frozen),Fresh Orange Juice,Dark Chocolate Bar
T44,Multigrain Bread,Almond Butter,Organic Honey
T45,Organic Pasta,Marinara Sauce,Olive Oil
T46,Avocados,Baby Spinach,Olive Oil
T47,Greek Yogurt,Blueberries (Pack),Organic Honey
T48,Quinoa (1 lb),Tofu Block,Kale Greens
T49,Organic Eggs (Dozen),Multigrain Bread,Avocados
T50,Almond Milk,Organic Granola,Maple Syrup
